summer,[ˈsʌmə(r)],夏天,It is very hot in summer.
autumn,[ˈɔːtəm],秋天,Leaves turn yellow in autumn.
winter,[ˈwɪntə(r)],冬天,It snows in winter.
season,[ˈsiːzn],季节,Which season do you like best?
picnic,[ˈpɪknɪk],野餐,We have a picnic in the park.
go on a picnic,/,去野餐,Let's go on a picnic this weekend.
pick,[pɪk],摘; 采集,I can pick some flowers.
pick apples,/,摘苹果,We pick apples in autumn.
snowman,[ˈsnəʊmæn],雪人,Look at the big snowman!
make a snowman,/,堆雪人,We can make a snowman in winter.
which,[wɪtʃ],哪一个,Which book is yours?
best,[best],最; 最高程度地,I like summer best.
also,[ˈɔːlsəʊ],还; 也,I also like playing football.
snow,[snəʊ],雪,The ground is covered with snow.
good job,/,做得好,Good job! You did it!
because,[bɪˈkɒz],因为,I like spring because it is warm.
vacation,[vəˈkeɪʃn],假期,Where are you going for vacation?
all,[ɔːl],全; 完全,We all like the pet dog.
pink,[pɪŋk],粉色; 粉色的,She has a pink bag.
lovely,[ˈlʌvli],可爱的; 美丽的,What a lovely cat!
leaf,[liːf],叶子,The leaf is green.
fall,[fɔːl],落下; 秋天,Leaves fall in autumn.
paint,[peɪnt],用颜料绘画,I like to paint pictures.
Easter,[ˈiːstə(r)],复活节,Easter is in spring.
trip,[trɪp],旅行,We are planning a trip to Beijing.
national,[ˈnæʃnəl],国家的,It is a national holiday.
National Day,/,国庆日,National Day is on October 1st.
American,[əˈmerɪkən],美国人,He is an American boy.
Thanksgiving,[ˌθæŋksˈɡɪvɪŋ],感恩节,We eat turkey on Thanksgiving.
Christmas,[ˈkrɪsməs],圣诞节,Merry Christmas to you!
the Great Wall,/,长城,The Great Wall is very long.
holiday,[ˈhɒlədeɪ],节日; 假日,Have a nice holiday!
game,[ɡeɪm],游戏,Let's play a game together.
roll,[rəʊl],滚动,The ball rolls on the floor.
look for,/,寻找,I am looking for my pen.
chocolate,[ˈtʃɒklət],巧克力,I like eating chocolate.
bunny,[ˈbʌni],兔子,The bunny is so cute.
RSVP,/,请赐复,Please RSVP by Friday.
by,[baɪ],在...之前,I must go home by 9:00.
January,[ˈdʒænjuəri],一月,January is the first month.
February,[ˈfebruəri],二月,February is a short month.
March,[mɑːtʃ],三月,Tree Planting Day is in March.
April,[ˈeɪprəl],四月,April Fool's Day is in April.
May,[meɪ],五月,Mother's Day is in May.
June,[dʒuːn],六月,Children's Day is in June.
July,[dʒuˈlaɪ],七月,It is very hot in July.
August,[ˈɔːɡəst],八月,We have no school in August.
September,[sepˈtembə(r)],九月,Teachers' Day is in September.
October,[ɒkˈtəʊbə(r)],十月,National Day is in October.
November,[nəʊˈvembə(r)],十一月,It gets cold in November.
December,[dɪˈsembə(r)],十二月,Christmas is in December.
first (1st),[fɜːst],第一(的),He is the first one to come.
second (2nd),[ˈsekənd],第二(的),My bedroom is on the second floor.
third (3rd),[θɜːd],第三(的),Today is the third of March.
fourth (4th),[fɔːθ],第四(的),April is the fourth month.
fifth (5th),[fɪfθ],第五(的),She is in the fifth grade.
twelfth (12th),[twelfθ],第十二(的),My birthday is on May 12th.
twentieth (20th),[ˈtwentiəθ],第二十(的),Today is the twentieth of June.
twenty-first (21st),[ˈtwenti fɜːst],第二十一(的),It is my twenty-first birthday.
twenty-third (23rd),[ˌtwentiˈθɜːd],第二十三(的),Today is October 23rd.
thirtieth (30th),[ˈθɜːtiəθ],第三十(的),It is the thirtieth of November.
special,[ˈspeʃl],特殊的; 特别的,Today is a special day.
fool,[fuːl],蠢人; 傻瓜,Don't be a fool.
kitten,[ˈkɪtn],小猫,The kitten is drinking milk.
diary,[ˈdaɪəri],日记,I write in my diary every day.
still,[stɪl],仍然; 依旧,I am still working on it.
noise,[nɔɪz],声音; 噪音,Don't make too much noise.
fur,[fɜː(r)],浓密的软毛,The cat has soft fur.
open,[ˈəʊpən],开着的,The door is open.
walk,[wɔːk],行走,I walk to school every day.
plant,[plɑːnt],种植,We plant trees in spring.
contest,[ˈkɒntest],比赛; 竞赛,I won the drawing contest.
year,[jɪə(r)],年,There are 12 months in a year.
few,[fjuː],不多; 很少,I have few friends here.
a few,/,一些,I have a few books to read.
thing,[θɪŋ],事情,There are many things to do.
meet,[miːt],集会; 开会,We have a meet today.
sports meet,/,运动会,Our school has a sports meet.
mine,[maɪn],我的,This pen is mine.
yours,[jɔːz],你(们)的,Is this book yours?
his,[hɪz],他的,His name is Tom.
hers,[hɜːz],她的,The red bag is hers.
theirs,[ðeəz],他(她、它)们的,The house is theirs.
ours,[ˈaʊəz],我们的,This classroom is ours.
its,[ɪts],它的,The bird is in its nest.
doing morning exercises,/,正在做早操,He is doing morning exercises.
having... class,/,正在上课,They are having English class.
eating lunch,/,正在吃午饭,We are eating lunch now.
reading a book,/,正在看书,I am reading a book.
listening to music,/,正在听音乐,She is listening to music.
keep,[kiːp],保持,Please keep quiet.
keep to the right,/,靠右,Please keep to the right.
keep your desk clean,/,保持课桌干净,You should keep your desk clean.
talk quietly,/,小声讲话,Please talk quietly in the library.
turn,[tɜːn],顺序,It is your turn now.
take turns,/,按顺序来,We should take turns to play.
bamboo,[ˌbæmˈbuː],竹子,Pandas like eating bamboo.
climbing,[ˈklaɪmɪŋ],正在攀登,The monkey is climbing the tree.
eating,[ˈiːtɪŋ],正在吃,The baby is eating an apple.
playing,[ˈpleɪɪŋ],正在玩耍,They are playing in the park.
jumping,[ˈdʒʌmpɪŋ],正在跳,The rabbit is jumping.
sleeping,[ˈsliːpɪŋ],正在睡觉,The dog is sleeping.
drinking,[ˈdrɪŋkɪŋ],正在喝,He is drinking some water.
show,[ʃəʊ],给人看; 指引,Show me your new toy.
anything,[ˈeniθɪŋ],任何事物,Is there anything new?
else,[els],另外; 其他,What else do you want?
exhibition,[ˌeksɪˈbɪʃn],展览,We went to a robot exhibition.
say,[seɪ],说; 讲,What did you say?
have a look,/,看一看,Can I have a look?
sushi,[ˈsuːʃi],寿司,I like eating sushi.
teach,[tiːtʃ],教,Miss White teaches us English.
sure,[ʃʊə(r)],当然,Sure! I can help you.
Canadian,[kəˈneɪdiən],加拿大的,He is a Canadian teacher.
Spanish,[ˈspænɪʃ],西班牙语的,She can speak Spanish.
each,[iːtʃ],每一; 各一,Each student has a book.
other,[ˈʌðə(r)],其他,I have some other things to do.
each other,/,相互,We should help each other.
